month,openrank,activity,issue_response_time,change_request_response_time,inactive_contributors,rank_velocity,activity_ma3,churn_risk_activity,inactive_diff,churn_risk_contributor
2020-08-01,4.76,32.4,0,0,0.0,0.0,0.0,0,0.0,0
2020-09-01,4.93,39.18,0,0,0.0,0.16999999999999993,0.0,0,0.0,0
2020-10-01,5.03,28.11,0,0,0.0,0.10000000000000053,33.23,0,0.0,0
2020-11-01,6.62,30.43,0,0,0.0,1.5899999999999999,32.57333333333333,0,0.0,0
2020-12-01,12.65,67.26,0,0,0.0,6.03,41.93333333333333,0,0.0,0
2021-01-01,11.08,52.47,0,0,0.0,-1.5700000000000003,50.053333333333335,0,0.0,0
2021-02-01,5.81,24.26,0,0,1.0,-5.2700000000000005,47.99666666666666,0,1.0,0
2021-03-01,4.35,14.43,0,0,1.0,-1.46,30.386666666666667,1,0.0,0
2021-04-01,4.54,29.76,0,0,1.0,0.1900000000000004,22.816666666666666,0,0.0,0
2021-05-01,4.32,19.2,0,0,2.0,-0.21999999999999975,21.13,0,1.0,0
2021-06-01,7.27,39.79,0,0,6.0,2.9499999999999993,29.583333333333332,0,4.0,0
2021-07-01,4.07,16.64,0,0,11.0,-3.1999999999999993,25.209999999999997,0,5.0,0
2021-08-01,2.84,12.68,0,0,11.0,-1.2300000000000004,23.03666666666666,0,0.0,0
2021-09-01,0.0,5.02,0,0,11.0,-2.84,11.446666666666667,1,0.0,0
2021-10-01,0.0,14.0,0,0,11.0,0.0,10.566666666666666,0,0.0,0
2021-11-01,2.43,19.1,0,0,10.0,2.43,12.706666666666669,0,-1.0,0
2021-12-01,2.66,24.56,0,0,10.0,0.22999999999999998,19.220000000000002,0,0.0,0
2022-01-01,4.49,24.11,0,0,13.0,1.83,22.59,0,3.0,0
2022-02-01,4.79,16.46,0,0,13.0,0.2999999999999998,21.709999999999997,0,0.0,0
2022-03-01,6.05,42.58,0,0,12.0,1.2599999999999998,27.71666666666667,0,-1.0,0
2022-04-01,3.23,22.2,0,0,12.0,-2.82,27.08,0,0.0,0
2022-05-01,3.43,24.27,0,0,13.0,0.20000000000000018,29.683333333333337,0,1.0,0
2022-06-01,6.54,44.6,0,0,13.0,3.11,30.356666666666666,0,0.0,0
2022-07-01,8.05,37.06,0,0,14.0,1.5100000000000007,35.31,0,1.0,0
2022-08-01,7.45,31.09,0,0,14.0,-0.6000000000000005,37.583333333333336,0,0.0,0
2022-09-01,8.03,38.87,0,0,13.0,0.5799999999999992,35.67333333333334,0,-1.0,0
2022-10-01,8.91,51.78,0,0,13.0,0.8800000000000008,40.580000000000005,0,0.0,0
2022-11-01,11.78,49.82,0,0,13.0,2.869999999999999,46.82333333333333,0,0.0,0
2022-12-01,16.31,47.41,0,0,14.0,4.529999999999999,49.669999999999995,0,1.0,0
2023-01-01,15.46,49.53,0,0,14.0,-0.8499999999999979,48.919999999999995,0,0.0,0
2023-02-01,13.38,98.65,0,0,13.0,-2.08,65.19666666666667,0,-1.0,0
2023-03-01,10.25,37.24,0,0,15.0,-3.130000000000001,61.80666666666667,0,2.0,0
2023-04-01,10.35,46.64,0,0,20.0,0.09999999999999964,60.843333333333334,0,5.0,0
2023-05-01,11.51,44.96,0,0,21.0,1.1600000000000001,42.946666666666665,0,1.0,0
2023-06-01,11.08,28.6,0,0,22.0,-0.4299999999999997,40.06666666666666,0,1.0,0
2023-07-01,11.96,30.65,0,0,23.0,0.8800000000000008,34.73666666666667,0,1.0,0
2023-08-01,12.62,34.12,0,0,24.0,0.6599999999999984,31.123333333333335,0,1.0,0
2023-09-01,11.27,28.22,0,0,26.0,-1.3499999999999996,30.99666666666667,0,2.0,0
2023-10-01,9.51,29.96,0,0,26.0,-1.7599999999999998,30.766666666666666,0,0.0,0
2023-11-01,9.46,24.62,0,0,29.0,-0.049999999999998934,27.599999999999998,0,3.0,0
2023-12-01,10.53,21.93,0,0,29.0,1.0699999999999985,25.503333333333334,0,0.0,0
2024-01-01,12.14,36.2,0,0,29.0,1.6100000000000012,27.583333333333332,0,0.0,0
2024-02-01,13.34,76.32,0,0,29.0,1.1999999999999993,44.81666666666666,0,0.0,0
2024-03-01,10.18,18.03,0,0,30.0,-3.16,43.51666666666667,1,1.0,0
2024-04-01,8.05,14.49,0,0,31.0,-2.129999999999999,36.279999999999994,1,1.0,0
2024-05-01,7.15,20.55,0,0,32.0,-0.9000000000000004,17.69,0,1.0,0
2024-06-01,8.45,17.21,0,0,32.0,1.299999999999999,17.416666666666668,0,0.0,0
2024-07-01,9.17,24.34,0,0,33.0,0.7200000000000006,20.7,0,1.0,0
2024-08-01,8.56,28.39,0,0,33.0,-0.6099999999999994,23.313333333333333,0,0.0,0
2024-09-01,6.9,19.31,0,0,34.0,-1.6600000000000001,24.013333333333332,0,1.0,0
2024-10-01,3.27,6.31,0,0,34.0,-3.6300000000000003,18.003333333333334,1,0.0,0
