month,openrank,activity,issue_response_time,change_request_response_time,inactive_contributors,rank_velocity,activity_ma3,churn_risk_activity,inactive_diff,churn_risk_contributor
2015-05-01,2.23,2.58,0,0,0.0,0.0,0.0,0,0.0,0
2015-06-01,6.73,22.89,0,0,0.0,4.5,0.0,0,0.0,0
2015-07-01,14.17,89.13,0,0,0.0,7.4399999999999995,38.199999999999996,0,0.0,0
2015-08-01,28.48,153.18,0,0,0.0,14.31,88.39999999999999,0,0.0,0
2015-09-01,41.23,166.45,0,0,0.0,12.749999999999996,136.25333333333333,0,0.0,0
2015-10-01,39.98,144.97,0,0,0.0,-1.25,154.86666666666667,0,0.0,0
2015-11-01,49.1,198.6,0,0,0.0,9.120000000000005,170.00666666666666,0,0.0,0
2015-12-01,59.5,238.35,0,0,0.0,10.399999999999999,193.97333333333333,0,0.0,0
2016-01-01,65.46,240.73,0,0,6.0,5.959999999999994,225.89333333333332,0,6.0,1
2016-02-01,63.68,177.36,0,0,12.0,-1.779999999999994,218.81333333333336,0,6.0,1
2016-03-01,71.21,296.52,0,0,14.0,7.529999999999994,238.2033333333333,0,2.0,0
2016-04-01,89.98,351.31,0,0,24.0,18.77000000000001,275.06333333333333,0,10.0,1
2016-05-01,113.82,490.5,0,0,29.0,23.83999999999999,379.4433333333333,0,5.0,0
2016-06-01,119.37,421.61,0,0,35.0,5.550000000000011,421.14000000000004,0,6.0,1
2016-07-01,130.67,468.33,0,0,40.0,11.299999999999983,460.1466666666667,0,5.0,0
2016-08-01,136.28,477.58,0,0,42.0,5.610000000000014,455.84,0,2.0,0
2016-09-01,138.95,462.2,0,0,47.0,2.6699999999999875,469.36999999999995,0,5.0,0
2016-10-01,156.26,515.57,0,0,59.0,17.310000000000002,485.1166666666666,0,12.0,1
2016-11-01,169.23,579.72,0,0,67.0,12.969999999999999,519.1633333333334,0,8.0,1
2016-12-01,177.39,575.07,0,0,71.0,8.159999999999997,556.7866666666667,0,4.0,0
2017-01-01,167.36,488.56,0,0,79.0,-10.029999999999973,547.7833333333333,0,8.0,1
2017-02-01,179.05,575.33,0,0,88.0,11.689999999999998,546.32,0,9.0,1
2017-03-01,193.49,723.64,0,0,98.0,14.439999999999998,595.8433333333334,0,10.0,1
2017-04-01,182.81,604.94,0,0,109.0,-10.680000000000007,634.6366666666668,0,11.0,1
2017-05-01,178.27,594.26,0,0,126.0,-4.539999999999992,640.9466666666667,0,17.0,1
2017-06-01,191.03,623.35,0,0,138.0,12.759999999999991,607.5166666666668,0,12.0,1
2017-07-01,172.34,610.22,0,0,161.0,-18.689999999999998,609.2766666666668,0,23.0,1
2017-08-01,175.8,664.32,0,0,173.0,3.460000000000008,632.6300000000001,0,12.0,1
