month,openrank,activity,issue_response_time,change_request_response_time,inactive_contributors,rank_velocity,activity_ma3,churn_risk_activity,inactive_diff,churn_risk_contributor
2015-01-01,17.22,212.51,0,0,0.0,0.0,0.0,0,0.0,0
2015-02-01,19.92,121.23,0,0,0.0,2.700000000000003,0.0,0,0.0,0
2015-03-01,33.21,206.51,0,0,0.0,13.29,180.08333333333334,0,0.0,0
2015-04-01,26.43,118.82,0,0,0.0,-6.780000000000001,148.85333333333332,0,0.0,0
2015-05-01,33.22,170.36,0,0,0.0,6.789999999999999,165.23,0,0.0,0
2015-06-01,41.48,211.59,0,0,0.0,8.259999999999998,166.92333333333332,0,0.0,0
2015-07-01,43.18,208.24,0,0,4.0,1.7000000000000028,196.73000000000002,0,4.0,0
2015-08-01,44.82,181.52,0,0,6.0,1.6400000000000006,200.45000000000002,0,2.0,0
2015-09-01,38.49,148.36,0,0,6.0,-6.329999999999998,179.37333333333333,0,0.0,0
2015-10-01,35.22,143.94,0,0,7.0,-3.270000000000003,157.94,0,1.0,0
2015-11-01,24.35,104.4,0,0,8.0,-10.869999999999997,132.23333333333335,0,1.0,0
2015-12-01,28.88,175.52,0,0,9.0,4.529999999999998,141.28666666666666,0,1.0,0
2016-01-01,53.87,351.76,0,0,10.0,24.99,210.56000000000003,0,1.0,0
2016-02-01,54.18,218.12,0,0,10.0,0.3100000000000023,248.4666666666667,0,0.0,0
2016-03-01,57.16,319.43,0,0,10.0,2.979999999999997,296.43666666666667,0,0.0,0
2016-04-01,65.13,293.73,0,0,10.0,7.969999999999999,277.0933333333333,0,0.0,0
2016-05-01,71.01,308.5,0,0,10.0,5.88000000000001,307.22,0,0.0,0
2016-06-01,76.83,330.54,0,0,10.0,5.819999999999993,310.92333333333335,0,0.0,0
2016-07-01,77.92,330.04,0,0,10.0,1.0900000000000034,323.0266666666667,0,0.0,0
2016-08-01,82.16,352.09,0,0,11.0,4.239999999999995,337.5566666666667,0,1.0,0
2016-09-01,83.78,320.36,0,0,12.0,1.6200000000000045,334.16333333333336,0,1.0,0
2016-10-01,78.24,294.33,0,0,12.0,-5.540000000000006,322.26,0,0.0,0
2016-11-01,88.97,398.02,0,0,12.0,10.730000000000004,337.57,0,0.0,0
2016-12-01,87.7,372.12,0,0,13.0,-1.269999999999996,354.82333333333327,0,1.0,0
2017-01-01,81.97,289.87,0,0,15.0,-5.730000000000004,353.33666666666664,0,2.0,0
2017-02-01,70.92,262.95,0,0,15.0,-11.049999999999997,308.31333333333333,0,0.0,0
2017-03-01,76.96,424.66,0,0,15.0,6.039999999999992,325.82666666666665,0,0.0,0
2017-04-01,80.98,366.58,0,0,15.0,4.02000000000001,351.3966666666667,0,0.0,0
2017-05-01,88.97,417.87,0,0,17.0,7.989999999999995,403.03666666666663,0,2.0,0
2017-06-01,89.56,394.25,0,0,17.0,0.5900000000000034,392.90000000000003,0,0.0,0
2017-07-01,91.57,392.88,0,0,20.0,2.009999999999991,401.6666666666667,0,3.0,0
2017-08-01,93.51,421.86,0,0,21.0,1.940000000000012,402.99666666666667,0,1.0,0
2017-09-01,85.69,411.96,0,0,23.0,-7.820000000000007,408.8999999999999,0,2.0,0
2017-10-01,74.82,272.63,0,0,24.0,-10.870000000000005,368.81666666666666,0,1.0,0
2017-11-01,86.8,508.71,0,0,25.0,11.980000000000004,397.76666666666665,0,1.0,0
2017-12-01,90.98,417.95,0,0,26.0,4.180000000000007,399.7633333333333,0,1.0,0
2018-01-01,94.33,494.17,0,0,28.0,3.3499999999999943,473.60999999999996,0,2.0,0
2018-02-01,73.4,278.53,0,0,28.0,-20.929999999999993,396.88333333333327,0,0.0,0
2018-03-01,76.86,426.04,0,0,30.0,3.4599999999999937,399.58,0,2.0,0
2018-04-01,71.98,327.1,0,0,34.0,-4.8799999999999955,343.89000000000004,0,4.0,0
2018-05-01,72.92,331.21,0,0,38.0,0.9399999999999977,361.45,0,4.0,0
2018-06-01,69.22,312.83,0,0,41.0,-3.700000000000003,323.7133333333333,0,3.0,0
2018-07-01,60.95,290.84,0,0,44.0,-8.269999999999996,311.6266666666666,0,3.0,0
