month,openrank,activity,issue_response_time,change_request_response_time,inactive_contributors,rank_velocity,activity_ma3,churn_risk_activity,inactive_diff,churn_risk_contributor
2015-01-01,19.8,426.75,0,0,0.0,0.0,0.0,0,0.0,0
2015-02-01,50.58,576.83,0,0,0.0,30.779999999999998,0.0,0,0.0,0
2015-03-01,69.75,600.64,0,0,0.0,19.17,534.74,0,0.0,0
2015-04-01,86.2,544.09,0,0,0.0,16.450000000000003,573.8533333333334,0,0.0,0
2015-05-01,85.77,451.06,0,0,0.0,-0.4300000000000068,531.9300000000001,0,0.0,0
2015-06-01,99.41,544.08,0,0,0.0,13.64,513.0766666666667,0,0.0,0
2015-07-01,105.7,556.13,0,0,22.0,6.290000000000006,517.09,0,22.0,1
2015-08-01,102.3,471.25,0,0,60.0,-3.4000000000000057,523.82,0,38.0,1
2015-09-01,113.13,564.41,0,0,102.0,10.829999999999998,530.5966666666667,0,42.0,1
2015-10-01,135.36,710.15,0,0,131.0,22.230000000000018,581.9366666666666,0,29.0,1
2015-11-01,122.72,539.99,0,0,148.0,-12.640000000000015,604.85,0,17.0,1
2015-12-01,118.41,473.43,0,0,168.0,-4.310000000000002,574.5233333333333,0,20.0,1
2016-01-01,109.82,488.87,0,0,201.0,-8.590000000000003,500.7633333333333,0,33.0,1
2016-02-01,110.07,492.63,0,0,228.0,0.25,484.97666666666663,0,27.0,1
2016-03-01,120.37,560.64,0,0,250.0,10.300000000000011,514.0466666666666,0,22.0,1
2016-04-01,135.25,645.18,0,0,287.0,14.879999999999995,566.15,0,37.0,1
2016-05-01,153.17,631.97,0,0,311.0,17.919999999999987,612.5966666666667,0,24.0,1
2016-06-01,163.85,572.61,0,0,339.0,10.680000000000007,616.5866666666667,0,28.0,1
2016-07-01,138.05,544.58,0,0,356.0,-25.799999999999983,583.0533333333333,0,17.0,1
2016-08-01,144.05,588.48,0,0,384.0,6.0,568.5566666666667,0,28.0,1
2016-09-01,126.93,521.48,0,0,410.0,-17.120000000000005,551.5133333333333,0,26.0,1
2016-10-01,176.12,690.11,0,0,432.0,49.19,600.0233333333334,0,22.0,1
2016-11-01,176.92,620.98,0,0,468.0,0.799999999999983,610.8566666666667,0,36.0,1
2016-12-01,141.33,436.02,0,0,489.0,-35.589999999999975,582.37,0,21.0,1
2017-01-01,176.58,674.04,0,0,510.0,35.25,577.0133333333333,0,21.0,1
2017-02-01,126.56,417.39,0,0,534.0,-50.02000000000001,509.1499999999999,0,24.0,1
2017-03-01,135.44,548.18,0,0,551.0,8.879999999999995,546.5366666666666,0,17.0,1
2017-04-01,142.17,565.41,0,0,603.0,6.72999999999999,510.32666666666665,0,52.0,1
2017-05-01,139.51,550.92,0,0,637.0,-2.6599999999999966,554.8366666666667,0,34.0,1
2017-06-01,142.39,501.41,0,0,646.0,2.8799999999999955,539.2466666666667,0,9.0,1
2017-07-01,165.36,595.23,0,0,694.0,22.970000000000027,549.1866666666666,0,48.0,1
2017-08-01,165.06,484.83,0,0,718.0,-0.30000000000001137,527.1566666666666,0,24.0,1
2017-09-01,187.38,765.44,0,0,730.0,22.319999999999993,615.1666666666666,0,12.0,1
2017-10-01,204.49,825.23,0,0,769.0,17.110000000000014,691.8333333333334,0,39.0,1
2017-11-01,178.9,609.81,0,0,787.0,-25.590000000000003,733.4933333333333,0,18.0,1
2017-12-01,158.26,507.4,0,0,806.0,-20.640000000000015,647.48,0,19.0,1
2018-01-01,149.16,615.41,0,0,816.0,-9.099999999999994,577.54,0,10.0,1
2018-02-01,117.71,396.94,0,0,825.0,-31.450000000000003,506.5833333333333,0,9.0,1
2018-03-01,113.27,467.77,0,0,865.0,-4.439999999999998,493.3733333333333,0,40.0,1
2018-04-01,123.59,463.34,0,0,897.0,10.320000000000007,442.68333333333334,0,32.0,1
2018-05-01,131.6,470.99,0,0,928.0,8.009999999999991,467.3666666666666,0,31.0,1
2018-06-01,113.31,411.51,0,0,937.0,-18.289999999999992,448.6133333333333,0,9.0,1
2018-07-01,106.51,351.96,0,0,955.0,-6.799999999999997,411.4866666666667,0,18.0,1
2018-08-01,131.05,528.55,0,0,960.0,24.540000000000006,430.67333333333335,0,5.0,0
2018-09-01,140.09,498.69,0,0,971.0,9.039999999999992,459.73333333333335,0,11.0,1
2018-10-01,131.6,575.63,0,0,976.0,-8.490000000000009,534.29,0,5.0,0
2018-11-01,165.27,666.54,0,0,982.0,33.670000000000016,580.2866666666666,0,6.0,1
2018-12-01,123.95,397.82,0,0,991.0,-41.32000000000001,546.6633333333333,0,9.0,1
2019-01-01,123.79,506.44,0,0,1001.0,-0.1599999999999966,523.6,0,10.0,1
2019-02-01,132.49,641.22,0,0,1032.0,8.700000000000003,515.16,0,31.0,1
2019-03-01,148.38,685.37,0,0,1045.0,15.889999999999986,611.0100000000001,0,13.0,1
2019-04-01,135.65,581.78,0,0,1056.0,-12.72999999999999,636.1233333333333,0,11.0,1
2019-05-01,148.79,545.78,0,0,1075.0,13.139999999999986,604.31,0,19.0,1
2019-06-01,145.24,498.46,0,0,1074.0,-3.549999999999983,542.0066666666667,0,-1.0,0
2019-07-01,145.71,569.53,0,0,1083.0,0.46999999999999886,537.9233333333333,0,9.0,1
2019-08-01,170.39,734.8,0,0,1089.0,24.67999999999998,600.93,0,6.0,1
2019-09-01,188.43,675.21,0,0,1092.0,18.04000000000002,659.8466666666667,0,3.0,0
2019-10-01,166.42,636.31,0,0,1105.0,-22.01000000000002,682.1066666666667,0,13.0,1
2019-11-01,163.99,603.62,0,0,1109.0,-2.4299999999999784,638.38,0,4.0,0
2019-12-01,161.17,589.63,0,0,1116.0,-2.8200000000000216,609.8533333333334,0,7.0,1
2020-01-01,137.63,549.71,0,0,1123.0,-23.539999999999992,580.9866666666667,0,7.0,1
2020-02-01,125.34,546.29,0,0,1132.0,-12.289999999999992,561.8766666666667,0,9.0,1
2020-03-01,134.92,548.35,0,0,1142.0,9.579999999999984,548.1166666666667,0,10.0,1
2020-04-01,152.31,660.85,0,0,1142.0,17.390000000000015,585.1633333333333,0,0.0,0
2020-05-01,154.23,595.86,0,0,1143.0,1.9199999999999875,601.6866666666666,0,1.0,0
2020-06-01,129.98,435.02,0,0,1149.0,-24.25,563.91,0,6.0,1
2020-07-01,136.77,606.34,0,0,1159.0,6.7900000000000205,545.74,0,10.0,1
2020-08-01,141.3,517.06,0,0,1176.0,4.530000000000001,519.4733333333334,0,17.0,1
2020-09-01,135.93,482.48,0,0,1185.0,-5.3700000000000045,535.2933333333334,0,9.0,1
2020-10-01,130.85,528.84,0,0,1196.0,-5.0800000000000125,509.46000000000004,0,11.0,1
2020-11-01,122.69,449.43,0,0,1209.0,-8.159999999999997,486.9166666666667,0,13.0,1
2020-12-01,111.99,396.96,0,0,1218.0,-10.700000000000003,458.41,0,9.0,1
2021-01-01,108.5,408.46,0,0,1231.0,-3.489999999999995,418.2833333333333,0,13.0,1
2021-02-01,106.3,395.71,0,0,1245.0,-2.200000000000003,400.3766666666666,0,14.0,1
2021-03-01,102.78,433.54,0,0,1255.0,-3.519999999999996,412.57,0,10.0,1
2021-04-01,106.3,424.91,0,0,1265.0,3.519999999999996,418.0533333333333,0,10.0,1
2021-05-01,94.59,359.65,0,0,1271.0,-11.709999999999994,406.0333333333333,0,6.0,1
2021-06-01,92.54,376.85,0,0,1277.0,-2.049999999999997,387.1366666666667,0,6.0,1
2021-07-01,101.7,421.31,0,0,1280.0,9.159999999999997,385.93666666666667,0,3.0,0
2021-08-01,97.17,422.44,0,0,1284.0,-4.530000000000001,406.8666666666666,0,4.0,0
2021-09-01,105.29,446.74,0,0,1288.0,8.120000000000005,430.16333333333336,0,4.0,0
2021-10-01,94.0,412.0,0,0,1291.0,-11.290000000000006,427.06,0,3.0,0
2021-11-01,84.38,393.31,0,0,1293.0,-9.620000000000005,417.34999999999997,0,2.0,0
2021-12-01,86.65,366.64,0,0,1298.0,2.2700000000000102,390.65000000000003,0,5.0,0
2022-01-01,80.13,434.84,0,0,1305.0,-6.52000000000001,398.2633333333333,0,7.0,1
2022-02-01,73.52,313.56,0,0,1315.0,-6.609999999999999,371.68,0,10.0,1
2022-03-01,174.24,1333.26,0,0,1326.0,100.72000000000001,693.8866666666667,0,11.0,1
