month,openrank,activity,issue_response_time,change_request_response_time,inactive_contributors,rank_velocity,activity_ma3,churn_risk_activity,inactive_diff,churn_risk_contributor
2015-01-01,35.09,733.31,0,0,0.0,0.0,0.0,0,0.0,0
2015-02-01,76.47,914.41,0,0,0.0,41.379999999999995,0.0,0,0.0,0
2015-03-01,126.73,1173.42,0,0,0.0,50.260000000000005,940.38,0,0.0,0
2015-04-01,191.81,1339.54,0,0,0.0,65.08,1142.4566666666667,0,0.0,0
2015-05-01,241.12,1378.02,0,0,0.0,49.31,1296.9933333333333,0,0.0,0
2015-06-01,274.04,1515.17,0,0,0.0,32.920000000000016,1410.9099999999999,0,0.0,0
2015-07-01,333.39,1598.9,0,0,16.0,59.349999999999966,1497.3633333333335,0,16.0,1
2015-08-01,391.27,2229.57,0,0,41.0,57.879999999999995,1781.2133333333334,0,25.0,1
2015-09-01,416.96,1796.71,0,0,65.0,25.689999999999998,1875.0600000000002,0,24.0,1
2015-10-01,418.1,1775.92,0,0,98.0,1.1400000000000432,1934.0666666666668,0,33.0,1
2015-11-01,432.89,1749.31,0,0,128.0,14.789999999999964,1773.9800000000002,0,30.0,1
2015-12-01,444.57,1663.66,0,0,157.0,11.680000000000007,1729.63,0,29.0,1
2016-01-01,444.36,1651.25,0,0,188.0,-0.20999999999997954,1688.0733333333335,0,31.0,1
2016-02-01,472.91,1925.9,0,0,241.0,28.55000000000001,1746.9366666666667,0,53.0,1
2016-03-01,440.59,1953.73,0,0,271.0,-32.32000000000005,1843.6266666666668,0,30.0,1
2016-04-01,488.2,1866.5,0,0,299.0,47.610000000000014,1915.3766666666668,0,28.0,1
2016-05-01,514.4,2158.31,0,0,339.0,26.19999999999999,1992.8466666666666,0,40.0,1
2016-06-01,516.77,2152.45,0,0,368.0,2.3700000000000045,2059.0866666666666,0,29.0,1
2016-07-01,550.64,2142.24,0,0,398.0,33.870000000000005,2151.0,0,30.0,1
2016-08-01,591.93,2548.01,0,0,435.0,41.289999999999964,2280.9,0,37.0,1
2016-09-01,602.72,2437.13,0,0,471.0,10.790000000000077,2375.7933333333335,0,36.0,1
2016-10-01,657.95,2638.44,0,0,496.0,55.23000000000002,2541.193333333333,0,25.0,1
2016-11-01,653.72,2425.73,0,0,528.0,-4.230000000000018,2500.4333333333334,0,32.0,1
2016-12-01,599.8,2260.43,0,0,553.0,-53.92000000000007,2441.5333333333333,0,25.0,1
2017-01-01,572.88,2363.17,0,0,591.0,-26.91999999999996,2349.7766666666666,0,38.0,1
2017-02-01,627.26,2536.6,0,0,624.0,54.379999999999995,2386.733333333333,0,33.0,1
2017-03-01,603.4,2598.66,0,0,659.0,-23.860000000000014,2499.476666666667,0,35.0,1
2017-04-01,601.54,2450.18,0,0,698.0,-1.8600000000000136,2528.48,0,39.0,1
2017-05-01,682.6,2869.2,0,0,716.0,81.06000000000006,2639.3466666666664,0,18.0,1
2017-06-01,716.3,2826.99,0,0,749.0,33.69999999999993,2715.4566666666665,0,33.0,1
2017-07-01,710.21,2714.66,0,0,773.0,-6.089999999999918,2803.6166666666663,0,24.0,1
2017-08-01,731.79,3168.33,0,0,801.0,21.579999999999927,2903.3266666666664,0,28.0,1
2017-09-01,670.69,2811.44,0,0,832.0,-61.09999999999991,2898.1433333333334,0,31.0,1
2017-10-01,731.76,2941.67,0,0,868.0,61.069999999999936,2973.8133333333335,0,36.0,1
2017-11-01,793.19,3084.79,0,0,920.0,61.430000000000064,2945.966666666667,0,52.0,1
2017-12-01,684.15,2286.14,0,0,951.0,-109.04000000000008,2770.866666666667,0,31.0,1
2018-01-01,710.06,2871.22,0,0,985.0,25.909999999999968,2747.383333333333,0,34.0,1
2018-02-01,730.1,2858.36,0,0,1026.0,20.040000000000077,2671.9066666666663,0,41.0,1
2018-03-01,684.9,2761.49,0,0,1067.0,-45.200000000000045,2830.3566666666666,0,41.0,1
2018-04-01,670.68,2482.14,0,0,1114.0,-14.220000000000027,2700.6633333333334,0,47.0,1
2018-05-01,674.26,2518.99,0,0,1166.0,3.580000000000041,2587.5399999999995,0,52.0,1
2018-06-01,624.87,2383.59,0,0,1205.0,-49.389999999999986,2461.5733333333333,0,39.0,1
2018-07-01,607.88,2391.97,0,0,1255.0,-16.99000000000001,2431.5166666666664,0,50.0,1
2018-08-01,646.51,2680.75,0,0,1309.0,38.629999999999995,2485.4366666666665,0,54.0,1
