month,openrank,activity,issue_response_time,change_request_response_time,inactive_contributors,rank_velocity,activity_ma3,churn_risk_activity,inactive_diff,churn_risk_contributor
2015-11-01,135.02,1174.83,0,0,0.0,0.0,0.0,0,0.0,0
2015-12-01,217.82,1238.56,0,0,0.0,82.79999999999998,0.0,0,0.0,0
2016-01-01,219.13,944.6,0,0,0.0,1.3100000000000023,1119.33,0,0.0,0
2016-02-01,261.77,1169.71,0,0,0.0,42.639999999999986,1117.6233333333332,0,0.0,0
2016-03-01,293.25,1541.83,0,0,0.0,31.480000000000018,1218.7133333333334,0,0.0,0
2016-04-01,356.01,1601.78,0,0,0.0,62.75999999999999,1437.7733333333333,0,0.0,0
2016-05-01,360.88,1372.25,0,0,21.0,4.8700000000000045,1505.2866666666666,0,21.0,1
2016-06-01,416.88,1699.27,0,0,34.0,56.0,1557.7666666666667,0,13.0,1
2016-07-01,482.08,2069.92,0,0,43.0,65.19999999999999,1713.8133333333335,0,9.0,1
2016-08-01,501.05,2010.97,0,0,50.0,18.970000000000027,1926.7200000000003,0,7.0,1
2016-09-01,562.76,2420.26,0,0,57.0,61.70999999999998,2167.05,0,7.0,1
2016-10-01,602.08,2435.75,0,0,76.0,39.32000000000005,2288.9933333333333,0,19.0,1
2016-11-01,637.24,2422.47,0,0,86.0,35.15999999999997,2426.16,0,10.0,1
2016-12-01,647.61,2293.21,0,0,101.0,10.370000000000005,2383.81,0,15.0,1
2017-01-01,595.52,2044.99,0,0,108.0,-52.09000000000003,2253.556666666667,0,7.0,1
2017-02-01,705.72,2979.03,0,0,129.0,110.20000000000005,2439.076666666667,0,21.0,1
2017-03-01,794.43,3482.09,0,0,142.0,88.70999999999992,2835.3700000000003,0,13.0,1
2017-04-01,862.75,3382.73,0,0,153.0,68.32000000000005,3281.2833333333333,0,11.0,1
2017-05-01,906.09,3377.38,0,0,167.0,43.34000000000003,3414.066666666667,0,14.0,1
2017-06-01,914.14,3358.38,0,0,182.0,8.049999999999955,3372.83,0,15.0,1
2017-07-01,880.29,3073.86,0,0,197.0,-33.85000000000002,3269.8733333333334,0,15.0,1
2017-08-01,898.01,3235.02,0,0,214.0,17.720000000000027,3222.42,0,17.0,1
2017-09-01,807.49,3052.24,0,0,234.0,-90.51999999999998,3120.3733333333334,0,20.0,1
2017-10-01,954.47,4060.15,0,0,254.0,146.98000000000002,3449.1366666666668,0,20.0,1
2017-11-01,990.25,3956.52,0,0,275.0,35.77999999999997,3689.6366666666668,0,21.0,1
2017-12-01,912.11,2790.45,0,0,294.0,-78.13999999999999,3602.373333333333,0,19.0,1
2018-01-01,820.28,2702.27,0,0,308.0,-91.83000000000004,3149.7466666666664,0,14.0,1
2018-02-01,840.12,3054.16,0,0,335.0,19.840000000000032,2848.9599999999996,0,27.0,1
