month,openrank,activity,issue_response_time,change_request_response_time,inactive_contributors,rank_velocity,activity_ma3,churn_risk_activity,inactive_diff,churn_risk_contributor
2017-01-01,48.28,263.98,0,0,0.0,0.0,0.0,0,0.0,0
2017-02-01,78.11,327.5,0,0,0.0,29.83,0.0,0,0.0,0
2017-03-01,102.47,431.63,0,0,0.0,24.36,341.0366666666667,0,0.0,0
2017-04-01,124.25,420.09,0,0,0.0,21.78,393.0733333333333,0,0.0,0
2017-05-01,140.59,460.72,0,0,0.0,16.340000000000003,437.48,0,0.0,0
2017-06-01,158.01,461.86,0,0,0.0,17.419999999999987,447.5566666666667,0,0.0,0
2017-07-01,158.47,486.5,0,0,9.0,0.46000000000000796,469.6933333333334,0,9.0,1
2017-08-01,164.62,561.57,0,0,22.0,6.150000000000006,503.31,0,13.0,1
2017-09-01,146.32,567.23,0,0,46.0,-18.30000000000001,538.4333333333333,0,24.0,1
2017-10-01,183.08,710.42,0,0,59.0,36.76000000000002,613.0733333333333,0,13.0,1
2017-11-01,214.95,814.89,0,0,76.0,31.869999999999976,697.5133333333333,0,17.0,1
2017-12-01,228.92,726.22,0,0,88.0,13.969999999999999,750.5099999999999,0,12.0,1
2018-01-01,229.68,783.84,0,0,99.0,0.7600000000000193,774.9833333333332,0,11.0,1
2018-02-01,235.58,731.15,0,0,118.0,5.900000000000006,747.07,0,19.0,1
2018-03-01,260.36,940.59,0,0,135.0,24.78,818.5266666666666,0,17.0,1
2018-04-01,319.6,1176.6,0,0,152.0,59.24000000000001,949.4466666666666,0,17.0,1
2018-05-01,346.6,1155.56,0,0,173.0,27.0,1090.9166666666665,0,21.0,1
2018-06-01,373.28,1160.0,0,0,182.0,26.67999999999995,1164.0533333333333,0,9.0,1
2018-07-01,386.91,1176.9,0,0,197.0,13.630000000000052,1164.1533333333334,0,15.0,1
2018-08-01,386.34,1238.1,0,0,216.0,-0.57000000000005,1191.6666666666667,0,19.0,1
2018-09-01,380.92,1083.9,0,0,246.0,-5.419999999999959,1166.3,0,30.0,1
2018-10-01,424.16,1320.84,0,0,289.0,43.24000000000001,1214.28,0,43.0,1
2018-11-01,449.49,1319.33,0,0,342.0,25.329999999999984,1241.3566666666666,0,53.0,1
2018-12-01,447.57,1257.09,0,0,415.0,-1.920000000000016,1299.0866666666666,0,73.0,1
2019-01-01,454.52,1244.18,0,0,413.0,6.949999999999989,1273.5333333333335,0,-2.0,0
2019-02-01,453.15,1284.36,0,0,412.0,-1.3700000000000045,1261.8766666666668,0,-1.0,0
2019-03-01,442.42,1445.58,0,0,412.0,-10.729999999999961,1324.7066666666667,0,0.0,0
2019-04-01,484.79,1539.36,0,0,413.0,42.370000000000005,1423.0999999999997,0,1.0,0
2019-05-01,529.17,1670.39,0,0,412.0,44.37999999999994,1551.7766666666666,0,-1.0,0
2019-06-01,538.43,1477.26,0,0,411.0,9.259999999999991,1562.3366666666668,0,-1.0,0
2019-07-01,553.48,1633.16,0,0,413.0,15.050000000000068,1593.6033333333335,0,2.0,0
2019-08-01,606.99,1771.23,0,0,411.0,53.50999999999999,1627.2166666666665,0,-2.0,0
2019-09-01,611.75,1612.7,0,0,411.0,4.759999999999991,1672.3633333333335,0,0.0,0
2019-10-01,645.01,1890.59,0,0,405.0,33.25999999999999,1758.1733333333334,0,-6.0,0
2019-11-01,669.38,1744.73,0,0,404.0,24.370000000000005,1749.3400000000001,0,-1.0,0
2019-12-01,666.98,1585.88,0,0,404.0,-2.3999999999999773,1740.4000000000003,0,0.0,0
2020-01-01,627.53,1596.22,0,0,404.0,-39.450000000000045,1642.2766666666666,0,0.0,0
2020-02-01,607.91,1540.83,0,0,404.0,-19.620000000000005,1574.3100000000002,0,0.0,0
2020-03-01,691.64,1949.38,0,0,402.0,83.73000000000002,1695.4766666666667,0,-2.0,0
2020-04-01,736.29,2108.85,0,0,413.0,44.64999999999998,1866.3533333333332,0,11.0,1
2020-05-01,731.66,1924.69,0,0,412.0,-4.6299999999999955,1994.3066666666666,0,-1.0,0
2020-06-01,728.53,1824.57,0,0,416.0,-3.1299999999999955,1952.7033333333331,0,4.0,0
2020-07-01,749.57,2040.08,0,0,417.0,21.040000000000077,1929.78,0,1.0,0
2020-08-01,761.96,1970.03,0,0,417.0,12.389999999999986,1944.8933333333334,0,0.0,0
2020-09-01,778.01,2101.6,0,0,425.0,16.049999999999955,2037.2366666666667,0,8.0,1
2020-10-01,784.24,2050.82,0,0,427.0,6.230000000000018,2040.8166666666668,0,2.0,0
2020-11-01,793.71,2023.14,0,0,432.0,9.470000000000027,2058.52,0,5.0,0
2020-12-01,783.52,1931.39,0,0,435.0,-10.190000000000055,2001.7833333333335,0,3.0,0
2021-01-01,772.13,1937.24,0,0,442.0,-11.389999999999986,1963.9233333333334,0,7.0,1
2021-02-01,731.59,1828.51,0,0,437.0,-40.539999999999964,1899.0466666666664,0,-5.0,0
2021-03-01,775.17,2252.61,0,0,438.0,43.57999999999993,2006.1200000000001,0,1.0,0
2021-04-01,801.53,2203.26,0,0,451.0,26.360000000000014,2094.7933333333335,0,13.0,1
2021-05-01,793.39,2001.54,0,0,451.0,-8.139999999999986,2152.47,0,0.0,0
2021-06-01,798.42,2181.84,0,0,450.0,5.029999999999973,2128.8799999999997,0,-1.0,0
2021-07-01,813.31,1947.32,0,0,455.0,14.889999999999986,2043.5666666666666,0,5.0,0
2021-08-01,822.49,1957.02,0,0,467.0,9.180000000000064,2028.7266666666665,0,12.0,1
2021-09-01,768.9,1903.22,0,0,477.0,-53.59000000000003,1935.8533333333332,0,10.0,1
2021-10-01,735.0,1877.0,0,0,483.0,-33.89999999999998,1912.4133333333332,0,6.0,1
2021-11-01,683.51,1882.14,0,0,490.0,-51.49000000000001,1887.4533333333331,0,7.0,1
2021-12-01,689.45,1723.08,0,0,498.0,5.940000000000055,1827.4066666666668,0,8.0,1
2022-01-01,691.41,1708.38,0,0,497.0,1.9599999999999227,1771.2,0,-1.0,0
2022-02-01,672.15,1695.53,0,0,494.0,-19.25999999999999,1708.9966666666667,0,-3.0,0
2022-03-01,662.01,1764.48,0,0,500.0,-10.139999999999986,1722.7966666666664,0,6.0,1
2022-04-01,666.36,1816.07,0,0,502.0,4.350000000000023,1758.6933333333334,0,2.0,0
2022-05-01,675.95,1965.81,0,0,502.0,9.590000000000032,1848.7866666666666,0,0.0,0
2022-06-01,706.81,2132.02,0,0,500.0,30.8599999999999,1971.3,0,-2.0,0
2022-07-01,714.21,2057.5,0,0,505.0,7.400000000000091,2051.7766666666666,0,5.0,0
2022-08-01,730.75,2223.63,0,0,515.0,16.539999999999964,2137.7166666666667,0,10.0,1
2022-09-01,677.97,2048.54,0,0,524.0,-52.77999999999997,2109.89,0,9.0,1
2022-10-01,715.07,2223.08,0,0,519.0,37.10000000000002,2165.0833333333335,0,-5.0,0
2022-11-01,748.65,2079.77,0,0,524.0,33.57999999999993,2117.13,0,5.0,0
2022-12-01,755.35,1921.55,0,0,537.0,6.7000000000000455,2074.8,0,13.0,1
2023-01-01,763.57,2028.99,0,0,538.0,8.220000000000027,2010.1033333333335,0,1.0,0
2023-02-01,775.87,2282.16,0,0,538.0,12.299999999999955,2077.566666666667,0,0.0,0
2023-03-01,839.92,2540.72,0,0,538.0,64.04999999999995,2283.9566666666665,0,0.0,0
2023-04-01,869.99,2408.51,0,0,543.0,30.07000000000005,2410.4633333333336,0,5.0,0
2023-05-01,867.76,2262.71,0,0,545.0,-2.230000000000018,2403.98,0,2.0,0
2023-06-01,863.55,2158.42,0,0,548.0,-4.210000000000036,2276.546666666667,0,3.0,0
2023-07-01,860.22,2152.82,0,0,550.0,-3.3299999999999272,2191.316666666667,0,2.0,0
2023-08-01,894.71,2412.93,0,0,559.0,34.49000000000001,2241.39,0,9.0,1
2023-09-01,892.66,2277.24,0,0,557.0,-2.050000000000068,2280.9966666666664,0,-2.0,0
2023-10-01,882.84,2359.12,0,0,574.0,-9.819999999999936,2349.7633333333333,0,17.0,1
2023-11-01,915.72,2489.41,0,0,579.0,32.879999999999995,2375.2566666666667,0,5.0,0
2023-12-01,861.46,2020.71,0,0,578.0,-54.25999999999999,2289.746666666667,0,-1.0,0
2024-01-01,876.86,2257.89,0,0,579.0,15.399999999999977,2256.0033333333336,0,1.0,0
2024-02-01,897.87,2429.07,0,0,581.0,21.00999999999999,2235.8900000000003,0,2.0,0
2024-03-01,893.14,2453.79,0,0,598.0,-4.730000000000018,2380.2500000000005,0,17.0,1
2024-04-01,928.08,2536.57,0,0,602.0,34.940000000000055,2473.1433333333334,0,4.0,0
2024-05-01,924.4,2585.83,0,0,601.0,-3.6800000000000637,2525.396666666667,0,-1.0,0
2024-06-01,956.31,2557.17,0,0,605.0,31.909999999999968,2559.8566666666666,0,4.0,0
2024-07-01,951.57,2648.74,0,0,610.0,-4.739999999999895,2597.2466666666664,0,5.0,0
2024-08-01,987.24,2845.89,0,0,613.0,35.66999999999996,2683.9333333333334,0,3.0,0
2024-09-01,961.54,2445.42,0,0,610.0,-25.700000000000045,2646.6833333333334,0,-3.0,0
2024-10-01,972.9,2629.82,0,0,608.0,11.360000000000014,2640.376666666667,0,-2.0,0
