month,openrank,activity,issue_response_time,change_request_response_time,inactive_contributors,rank_velocity,activity_ma3,churn_risk_activity,inactive_diff,churn_risk_contributor
2015-01-01,73.11,1661.66,0,0,0.0,0.0,0.0,0,0.0,0
2015-02-01,117.71,1281.33,0,0,0.0,44.599999999999994,0.0,0,0.0,0
2015-03-01,149.53,1196.77,0,0,0.0,31.820000000000007,1379.92,0,0.0,0
2015-04-01,199.53,1372.49,0,0,0.0,50.0,1283.53,0,0.0,0
2015-05-01,233.66,1366.43,0,0,0.0,34.129999999999995,1311.8966666666668,0,0.0,0
2015-06-01,213.48,1033.24,0,0,0.0,-20.180000000000007,1257.3866666666665,0,0.0,0
2015-07-01,219.58,1013.53,0,0,86.0,6.100000000000023,1137.7333333333333,0,86.0,1
2015-08-01,200.99,899.98,0,0,135.0,-18.590000000000003,982.25,0,49.0,1
2015-09-01,207.56,927.86,0,0,177.0,6.569999999999993,947.1233333333333,0,42.0,1
2015-10-01,211.71,1068.49,0,0,241.0,4.150000000000006,965.4433333333333,0,64.0,1
2015-11-01,206.65,914.88,0,0,333.0,-5.060000000000002,970.41,0,92.0,1
2015-12-01,195.51,886.42,0,0,380.0,-11.140000000000015,956.5966666666667,0,47.0,1
2016-01-01,210.94,1077.59,0,0,406.0,15.430000000000007,959.6300000000001,0,26.0,1
2016-02-01,215.78,991.43,0,0,446.0,4.840000000000003,985.1466666666666,0,40.0,1
2016-03-01,203.27,1044.72,0,0,479.0,-12.509999999999991,1037.9133333333334,0,33.0,1
2016-04-01,206.21,979.57,0,0,527.0,2.9399999999999977,1005.2400000000001,0,48.0,1
2016-05-01,234.2,1065.28,0,0,549.0,27.98999999999998,1029.8566666666668,0,22.0,1
2016-06-01,230.76,975.96,0,0,577.0,-3.4399999999999977,1006.9366666666666,0,28.0,1
2016-07-01,231.18,961.51,0,0,609.0,0.4200000000000159,1000.9166666666666,0,32.0,1
2016-08-01,277.96,1321.7,0,0,633.0,46.77999999999997,1086.39,0,24.0,1
2016-09-01,276.84,1134.07,0,0,669.0,-1.1200000000000045,1139.0933333333332,0,36.0,1
2016-10-01,245.36,1010.62,0,0,696.0,-31.47999999999996,1155.4633333333334,0,27.0,1
2016-11-01,254.58,1024.03,0,0,738.0,9.219999999999999,1056.24,0,42.0,1
2016-12-01,263.38,1012.47,0,0,771.0,8.799999999999983,1015.7066666666666,0,33.0,1
2017-01-01,264.4,1187.38,0,0,805.0,1.0199999999999818,1074.6266666666668,0,34.0,1
2017-02-01,274.65,1217.04,0,0,873.0,10.25,1138.9633333333334,0,68.0,1
2017-03-01,275.54,1269.88,0,0,901.0,0.8900000000000432,1224.7666666666667,0,28.0,1
2017-04-01,282.66,1125.37,0,0,927.0,7.1200000000000045,1204.0966666666666,0,26.0,1
2017-05-01,293.11,1198.22,0,0,959.0,10.449999999999989,1197.8233333333335,0,32.0,1
2017-06-01,293.35,1161.3,0,0,976.0,0.2400000000000091,1161.6299999999999,0,17.0,1
2017-07-01,272.93,1095.75,0,0,1002.0,-20.420000000000016,1151.7566666666664,0,26.0,1
2017-08-01,254.54,1033.82,0,0,1040.0,-18.390000000000015,1096.9566666666667,0,38.0,1
2017-09-01,254.79,1194.42,0,0,1072.0,0.25,1107.9966666666667,0,32.0,1
2017-10-01,292.62,1260.84,0,0,1090.0,37.83000000000001,1163.0266666666664,0,18.0,1
2017-11-01,296.15,1254.92,0,0,1127.0,3.5299999999999727,1236.7266666666667,0,37.0,1
2017-12-01,301.59,1121.77,0,0,1154.0,5.439999999999998,1212.51,0,27.0,1
2018-01-01,320.09,1354.13,0,0,1177.0,18.5,1243.6066666666666,0,23.0,1
2018-02-01,318.44,1237.21,0,0,1206.0,-1.6499999999999773,1237.7033333333331,0,29.0,1
2018-03-01,347.46,1461.55,0,0,1234.0,29.019999999999982,1350.9633333333334,0,28.0,1
2018-04-01,351.68,1323.74,0,0,1268.0,4.220000000000027,1340.8333333333333,0,34.0,1
2018-05-01,357.21,1396.93,0,0,1303.0,5.529999999999973,1394.0733333333335,0,35.0,1
2018-06-01,346.87,1246.96,0,0,1329.0,-10.339999999999975,1322.5433333333333,0,26.0,1
2018-07-01,369.77,1407.54,0,0,1359.0,22.899999999999977,1350.4766666666667,0,30.0,1
2018-08-01,374.25,1435.86,0,0,1382.0,4.480000000000018,1363.4533333333331,0,23.0,1
2018-09-01,372.53,1348.47,0,0,1403.0,-1.7200000000000273,1397.29,0,21.0,1
2018-10-01,334.64,1269.68,0,0,1428.0,-37.889999999999986,1351.3366666666666,0,25.0,1
2018-11-01,338.77,1337.01,0,0,1451.0,4.1299999999999955,1318.3866666666665,0,23.0,1
2018-12-01,358.95,1312.16,0,0,1481.0,20.180000000000007,1306.2833333333333,0,30.0,1
2019-01-01,350.09,1385.63,0,0,1509.0,-8.860000000000014,1344.9333333333334,0,28.0,1
2019-02-01,325.88,1292.3,0,0,1539.0,-24.20999999999998,1330.03,0,30.0,1
2019-03-01,329.97,1411.87,0,0,1561.0,4.090000000000032,1363.2666666666667,0,22.0,1
2019-04-01,324.94,1388.26,0,0,1594.0,-5.03000000000003,1364.1433333333332,0,33.0,1
2019-05-01,361.85,1512.76,0,0,1611.0,36.910000000000025,1437.6299999999999,0,17.0,1
2019-06-01,355.27,1318.61,0,0,1641.0,-6.580000000000041,1406.543333333333,0,30.0,1
2019-07-01,359.81,1475.88,0,0,1664.0,4.5400000000000205,1435.75,0,23.0,1
2019-08-01,350.54,1405.01,0,0,1692.0,-9.269999999999982,1399.8333333333333,0,28.0,1
2019-09-01,368.89,1409.68,0,0,1728.0,18.349999999999966,1430.1899999999998,0,36.0,1
2019-10-01,377.4,1629.02,0,0,1742.0,8.509999999999991,1481.2366666666667,0,14.0,1
2019-11-01,381.13,1602.68,0,0,1751.0,3.730000000000018,1547.1266666666668,0,9.0,1
2019-12-01,383.67,1368.56,0,0,1768.0,2.5400000000000205,1533.4199999999998,0,17.0,1
2020-01-01,353.04,1491.74,0,0,1806.0,-30.629999999999995,1487.6599999999999,0,38.0,1
2020-02-01,332.73,1403.35,0,0,1844.0,-20.310000000000002,1421.2166666666665,0,38.0,1
2020-03-01,360.2,1518.25,0,0,1877.0,27.46999999999997,1471.1133333333335,0,33.0,1
2020-04-01,371.48,1687.57,0,0,1910.0,11.28000000000003,1536.39,0,33.0,1
