month,openrank,activity,issue_response_time,change_request_response_time,inactive_contributors,rank_velocity,activity_ma3,churn_risk_activity,inactive_diff,churn_risk_contributor
2015-01-01,25.28,442.4,0,0,0.0,0.0,0.0,0,0.0,0
2015-02-01,45.14,439.26,0,0,0.0,19.86,0.0,0,0.0,0
2015-03-01,61.82,489.64,0,0,0.0,16.68,457.09999999999997,0,0.0,0
2015-04-01,70.63,425.88,0,0,0.0,8.809999999999995,451.5933333333333,0,0.0,0
2015-05-01,66.88,343.22,0,0,0.0,-3.75,419.58,0,0.0,0
2015-06-01,74.82,407.94,0,0,0.0,7.939999999999998,392.34666666666664,0,0.0,0
2015-07-01,91.25,403.23,0,0,8.0,16.430000000000007,384.7966666666667,0,8.0,1
2015-08-01,152.46,751.24,0,0,16.0,61.21000000000001,520.8033333333334,0,8.0,1
2015-09-01,139.8,603.64,0,0,25.0,-12.659999999999997,586.0366666666667,0,9.0,1
2015-10-01,134.79,567.62,0,0,34.0,-5.010000000000019,640.8333333333334,0,9.0,1
2015-11-01,128.52,483.85,0,0,39.0,-6.269999999999982,551.7033333333334,0,5.0,0
2015-12-01,133.55,479.92,0,0,46.0,5.030000000000001,510.46333333333337,0,7.0,1
2016-01-01,117.72,496.96,0,0,48.0,-15.830000000000013,486.91,0,2.0,0
2016-02-01,108.4,435.42,0,0,73.0,-9.319999999999993,470.76666666666665,0,25.0,1
2016-03-01,99.72,459.1,0,0,93.0,-8.680000000000007,463.82666666666665,0,20.0,1
2016-04-01,99.23,370.13,0,0,104.0,-0.4899999999999949,421.55,0,11.0,1
2016-05-01,106.52,389.27,0,0,122.0,7.289999999999992,406.1666666666667,0,18.0,1
2016-06-01,102.32,369.47,0,0,130.0,-4.200000000000003,376.29,0,8.0,1
2016-07-01,103.89,433.93,0,0,143.0,1.5700000000000074,397.5566666666667,0,13.0,1
2016-08-01,94.18,381.21,0,0,154.0,-9.709999999999994,394.86999999999995,0,11.0,1
2016-09-01,101.9,467.82,0,0,157.0,7.719999999999999,427.65333333333336,0,3.0,0
2016-10-01,103.14,476.48,0,0,154.0,1.2399999999999949,441.83666666666664,0,-3.0,0
2016-11-01,102.96,392.19,0,0,160.0,-0.18000000000000682,445.49666666666667,0,6.0,1
2016-12-01,113.44,399.28,0,0,162.0,10.480000000000004,422.65000000000003,0,2.0,0
2017-01-01,131.28,625.27,0,0,172.0,17.840000000000003,472.24666666666667,0,10.0,1
2017-02-01,118.71,393.76,0,0,175.0,-12.570000000000007,472.77,0,3.0,0
2017-03-01,117.76,490.56,0,0,186.0,-0.9499999999999886,503.19666666666666,0,11.0,1
2017-04-01,114.8,420.96,0,0,211.0,-2.960000000000008,435.0933333333333,0,25.0,1
2017-05-01,109.99,432.46,0,0,232.0,-4.810000000000002,447.99333333333334,0,21.0,1
2017-06-01,110.64,414.52,0,0,248.0,0.6500000000000057,422.6466666666667,0,16.0,1
2017-07-01,111.98,441.13,0,0,263.0,1.3400000000000034,429.36999999999995,0,15.0,1
2017-08-01,189.36,1026.85,0,0,260.0,77.38000000000001,627.4999999999999,0,-3.0,0
2017-09-01,170.14,694.39,0,0,274.0,-19.220000000000027,720.79,0,14.0,1
2017-10-01,188.86,753.84,0,0,279.0,18.720000000000027,825.0266666666666,0,5.0,0
2017-11-01,169.98,567.24,0,0,287.0,-18.880000000000024,671.8233333333334,0,8.0,1
2017-12-01,133.5,392.87,0,0,295.0,-36.47999999999999,571.3166666666666,0,8.0,1
2018-01-01,153.15,636.92,0,0,300.0,19.650000000000006,532.3433333333334,0,5.0,0
2018-02-01,136.41,464.0,0,0,343.0,-16.74000000000001,497.93,0,43.0,1
2018-03-01,128.64,521.91,0,0,359.0,-7.77000000000001,540.9433333333333,0,16.0,1
2018-04-01,124.05,500.77,0,0,388.0,-4.589999999999989,495.55999999999995,0,29.0,1
2018-05-01,106.16,389.32,0,0,394.0,-17.89,470.6666666666667,0,6.0,1
2018-06-01,98.32,336.33,0,0,404.0,-7.840000000000003,408.8066666666667,0,10.0,1
2018-07-01,101.53,408.77,0,0,418.0,3.210000000000008,378.14000000000004,0,14.0,1
2018-08-01,83.07,289.99,0,0,425.0,-18.460000000000008,345.03000000000003,0,7.0,1
2018-09-01,76.46,298.47,0,0,437.0,-6.609999999999999,332.41,0,12.0,1
2018-10-01,82.32,382.33,0,0,446.0,5.859999999999999,323.59666666666664,0,9.0,1
2018-11-01,89.18,302.04,0,0,449.0,6.860000000000014,327.61333333333334,0,3.0,0
2018-12-01,83.46,292.62,0,0,448.0,-5.720000000000013,325.66333333333336,0,-1.0,0
2019-01-01,94.31,320.65,0,0,454.0,10.850000000000009,305.10333333333335,0,6.0,1
2019-02-01,94.13,396.09,0,0,456.0,-0.18000000000000682,336.4533333333333,0,2.0,0
2019-03-01,92.09,360.59,0,0,462.0,-2.039999999999992,359.10999999999996,0,6.0,1
2019-04-01,72.0,265.87,0,0,484.0,-20.090000000000003,340.84999999999997,0,22.0,1
2019-05-01,77.46,285.08,0,0,495.0,5.459999999999994,303.84666666666664,0,11.0,1
2019-06-01,70.18,243.15,0,0,502.0,-7.279999999999987,264.7,0,7.0,1
2019-07-01,81.26,294.34,0,0,510.0,11.079999999999998,274.19,0,8.0,1
2019-08-01,69.14,208.64,0,0,521.0,-12.120000000000005,248.71,0,11.0,1
2019-09-01,57.7,211.34,0,0,524.0,-11.439999999999998,238.10666666666665,0,3.0,0
2019-10-01,51.4,254.59,0,0,524.0,-6.300000000000004,224.85666666666665,0,0.0,0
2019-11-01,52.5,233.01,0,0,529.0,1.1000000000000014,232.98000000000002,0,5.0,0
2019-12-01,56.21,239.35,0,0,535.0,3.710000000000001,242.31666666666663,0,6.0,1
2020-01-01,55.24,274.18,0,0,544.0,-0.9699999999999989,248.84666666666666,0,9.0,1
2020-02-01,58.0,290.73,0,0,546.0,2.759999999999998,268.08666666666664,0,2.0,0
2020-03-01,59.58,241.17,0,0,544.0,1.5799999999999983,268.6933333333333,0,-2.0,0
2020-04-01,64.53,300.13,0,0,553.0,4.950000000000003,277.34333333333336,0,9.0,1
2020-05-01,64.74,319.57,0,0,556.0,0.20999999999999375,286.9566666666667,0,3.0,0
2020-06-01,87.05,362.15,0,0,560.0,22.310000000000002,327.28333333333336,0,4.0,0
