month,openrank,activity,issue_response_time,change_request_response_time,inactive_contributors,rank_velocity,activity_ma3,churn_risk_activity,inactive_diff,churn_risk_contributor
2019-10-01,67.23,397.72,0,0,0,0.0,0.0,0,0.0,0
2019-11-01,43.35,117.48,0,0,0,-23.880000000000003,0.0,0,0.0,0
2019-12-01,38.18,102.77,0,0,0,-5.170000000000002,205.99,1,0.0,0
2020-01-01,37.01,155.43,0,0,0,-1.1700000000000017,125.22666666666667,0,0.0,0
2020-02-01,36.12,143.14,0,0,0,-0.8900000000000006,133.78,0,0.0,0
2020-03-01,39.08,155.22,0,0,0,2.960000000000001,151.26333333333332,0,0.0,0
2020-04-01,45.86,249.08,0,0,0,6.780000000000001,182.48000000000002,0,0.0,0
2020-05-01,45.68,236.92,0,0,0,-0.17999999999999972,213.74,0,0.0,0
2020-06-01,57.23,259.19,0,0,0,11.549999999999997,248.39666666666665,0,0.0,0
2020-07-01,81.7,371.63,0,0,0,24.470000000000006,289.24666666666667,0,0.0,0
2020-08-01,90.23,329.09,0,0,0,8.530000000000001,319.96999999999997,0,0.0,0
2020-09-01,95.86,404.14,0,0,0,5.6299999999999955,368.28666666666663,0,0.0,0
2020-10-01,85.32,368.62,0,0,0,-10.540000000000006,367.2833333333333,0,0.0,0
2020-11-01,71.1,269.5,0,0,0,-14.219999999999999,347.42,0,0.0,0
2020-12-01,82.93,344.17,0,0,0,11.830000000000013,327.43,0,0.0,0
2021-01-01,71.92,320.86,0,0,0,-11.010000000000005,311.51,0,0.0,0
2021-02-01,69.3,292.94,0,0,0,-2.6200000000000045,319.3233333333333,0,0.0,0
2021-03-01,82.94,323.89,0,0,0,13.64,312.56333333333333,0,0.0,0
2021-04-01,84.64,276.29,0,0,0,1.7000000000000028,297.70666666666665,0,0.0,0
2021-05-01,74.71,243.21,0,0,0,-9.930000000000007,281.12999999999994,0,0.0,0
2021-06-01,75.45,294.11,0,0,0,0.7400000000000091,271.2033333333333,0,0.0,0
2021-07-01,81.46,326.73,0,0,0,6.009999999999991,288.01666666666665,0,0.0,0
2021-08-01,101.69,405.61,0,0,0,20.230000000000004,342.1499999999999,0,0.0,0
2021-09-01,98.27,403.34,0,0,0,-3.4200000000000017,378.55999999999995,0,0.0,0
2021-10-01,83.0,349.0,0,0,0,-15.269999999999996,385.9833333333333,0,0.0,0
2021-11-01,68.17,291.73,0,0,0,-14.829999999999998,348.0233333333333,0,0.0,0
2021-12-01,60.08,299.38,0,0,0,-8.090000000000003,313.36999999999995,0,0.0,0
2022-01-01,63.28,297.57,0,0,0,3.200000000000003,296.22666666666663,0,0.0,0
2022-02-01,64.62,290.8,0,0,0,1.3400000000000034,295.9166666666666,0,0.0,0
2022-03-01,60.35,309.23,0,0,0,-4.270000000000003,299.2,0,0.0,0
2022-04-01,73.91,368.62,0,0,0,13.559999999999995,322.88333333333327,0,0.0,0
2022-05-01,72.26,386.02,0,0,0,-1.6499999999999915,354.6233333333333,0,0.0,0
2022-06-01,63.6,265.83,0,0,0,-8.660000000000004,340.15666666666664,0,0.0,0
2022-07-01,57.29,300.21,0,0,0,-6.310000000000002,317.3533333333333,0,0.0,0
2022-08-01,55.9,293.57,0,0,0,-1.3900000000000006,286.53666666666663,0,0.0,0
2022-09-01,68.39,338.88,0,0,0,12.490000000000002,310.8866666666666,0,0.0,0
2022-10-01,66.34,304.31,0,0,0,-2.049999999999997,312.2533333333333,0,0.0,0
2022-11-01,70.2,344.94,0,0,0,3.8599999999999994,329.3766666666666,0,0.0,0
2022-12-01,71.33,274.73,0,0,0,1.1299999999999955,307.9933333333333,0,0.0,0
2023-01-01,59.1,251.01,0,0,0,-12.229999999999997,290.22666666666663,0,0.0,0
2023-02-01,62.33,279.57,0,0,0,3.229999999999997,268.43666666666667,0,0.0,0
2023-03-01,59.72,297.02,0,0,0,-2.6099999999999994,275.8666666666666,0,0.0,0
2023-04-01,63.04,300.0,0,0,0,3.3200000000000003,292.19666666666666,0,0.0,0
2023-05-01,77.72,403.63,0,0,0,14.68,333.54999999999995,0,0.0,0
2023-06-01,65.28,301.41,0,0,0,-12.439999999999998,335.0133333333333,0,0.0,0
2023-07-01,66.24,302.28,0,0,0,0.9599999999999937,335.7733333333333,0,0.0,0
2023-08-01,71.57,323.65,0,0,0,5.329999999999998,309.1133333333333,0,0.0,0
2023-09-01,65.22,270.87,0,0,0,-6.349999999999994,298.9333333333333,0,0.0,0
2023-10-01,61.56,293.33,0,0,0,-3.6599999999999966,295.95,0,0.0,0
2023-11-01,57.21,277.27,0,0,0,-4.350000000000001,280.48999999999995,0,0.0,0
2023-12-01,62.5,299.63,0,0,0,5.289999999999999,290.0766666666666,0,0.0,0
2024-01-01,76.35,384.31,0,0,0,13.849999999999994,320.4033333333333,0,0.0,0
2024-02-01,69.34,264.0,0,0,0,-7.009999999999991,315.97999999999996,0,0.0,0
2024-03-01,52.3,234.46,0,0,0,-17.040000000000006,294.25666666666666,0,0.0,0
2024-04-01,63.38,301.05,0,0,0,11.080000000000005,266.5033333333333,0,0.0,0
2024-05-01,58.23,275.12,0,0,0,-5.150000000000006,270.21,0,0.0,0
2024-06-01,63.64,292.86,0,0,0,5.410000000000004,289.6766666666666,0,0.0,0
